原字段,en,ja,ar,de,es,fr,pt,th,vi,zh-TW,,,,,,,,,
Almost there Almost there,Almost there Almost there,ほぼそこほぼそこ,تقريبا هناك تقريبا هناك,Fast da Fast da,Casi allí Casi allí,Presque là Presque là,Quase lá Quase lá,เกือบถึงแล้ว เกือบถึงแล้ว,Gần có Gần có,快到了快到了,,,,,,,,,
(Costs 5 energy),(Costs 5 energy),(5エネルギー),(تكاليف الطاقة 5),(Kostet 5 Energie),(Cuesta 5 de energía),(Coûts 5 énergie),(Custa 5 energia),(ราคา 5 พลังงาน),(Chi phí 5 năng lượng),（成本5能源）,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
"Click the button to reveal your ghostly revelation~

",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
What Kind of Blessing Would God Give to Your Heart?,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
LOL 😂 You turned into corn!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Touch the picture to see what you are like in love.,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Touch the Trophy And See What Award You’d Win.😂,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
"How Dramatic Are You, Really?",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
😂 If you were a Asado  on the grill…,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Choose a beauty to discover your love style.😏,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
"Tap the Coffee to Discover Your Work Personality.
",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Which Place Is the Home of Your Soul?,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Touch the Parrot  to See Which Spirit Animal Protects You.,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Tap the Water in the Desert.What Will You Receive?,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
"Cursed by an Andes Wizard.Dare to See?
",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Which Wine Matches Your Love Life?,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Touch the Message in a Bottle to See What Does the Ocean Bring You?,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
So hot!🥵Touch the heart to reveal who likes you.,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Who will find you first…,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
The Virgin’s light reveals your destiny.,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
"From the field to the fire, every corn tells a human story.",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
"Are you leading, following, or lost in the rhythm?",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Your vibe decides your prize.,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Find out if your life belongs on a stage or a soap opera.,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
What would you be?,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Which love style describes yours?,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Your coffee choice reveals how you survive the office jungle.,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Follow your heart — it knows where you truly belong.,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Every soul has a guide…,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
"Even in the driest moments, a single drop can transform your life.",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
"The curse reveals truths about your life,are you ready to face them?",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
Discover the flavor of your heart.,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
What wisdom or blessings reach you today?,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
What kind of person will love you?,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
Come test your double life,Come test your double life,あなたの二重生活を試してみてください,تعال اختبر حياتك المزدوجة,Testen Sie Ihr Doppelleben,Ven a probar tu doble vida,Venez tester votre double vie,Venha testar sua vida dupla,มาทดสอบชีวิตคู่ของคุณ,Hãy đến kiểm tra cuộc sống hai mặt của bạn,來測試你的雙重生活,,,,,,,,,
Keep tapping to reveal your other side.,Keep tapping to reveal your other side.,あなたの反対側を明らかにするためにタップし続けてください。,استمر في النقر للكشف عن جانبك الآخر.,"Klopfen Sie weiter, um Ihre andere Seite zu zeigen.",Sigue tocando para revelar tu otro lado.,Continuez à taper pour révéler votre autre côté.,Continue tocando para revelar seu outro lado.,แตะต่อไปเพื่อเปิดเผยด้านอื่น ๆ ของคุณ,Tiếp tục nhấn để lộ mặt khác của bạn.,繼續敲擊以揭示您的另一面。,,,,,,,,,
